ring_no,scheme,species_name,age,visit_date,capture_time,location_name,gridRef,wing_length,weight,time_w
2488763,GBT,Storm Petrel,4,06/08/1999,02:40,"NBE (Twinyess, North Ronaldsay)",HY7452,125,26.1,02:40
2500578,GBT,Storm Petrel,4,21/07/1999,02:20,"NBE (Twinyess, North Ronaldsay)",HY7452,124,21.7,02:20
2500592,GBT,Storm Petrel,4,28/07/1999,00:10,"NBE (Twinyess, North Ronaldsay)",HY7452,128,26.1,00:10
2500789,GBT,Storm Petrel,4,14/08/1999,00:10,"NNO (Trolla Vatn, North Ronaldsay)",HY7856,124,24.4,00:10
2488887,GBT,Storm Petrel,4,15/08/1999,00:10,"NMM (Bewan, North Ronaldsay)",HY7855,127,26.2,00:10
2488863,GBT,Storm Petrel,4,14/08/1999,22:40,"NMM (Bewan, North Ronaldsay)",HY7855,124,27.7,22:40
2500708,GBT,Storm Petrel,4,13/08/1999,00:10,"NNO (Trolla Vatn, North Ronaldsay)",HY7856,127,24.3,00:10
2500765,GBT,Storm Petrel,4,13/08/1999,23:40,"NNO (Trolla Vatn, North Ronaldsay)",HY7856,125,23,23:40
2500767,GBT,Storm Petrel,4,14/08/1999,00:00,"NNO (Trolla Vatn, North Ronaldsay)",HY7856,123,24.3,00:00
2500778,GBT,Storm Petrel,4,14/08/1999,00:00,"NNO (Trolla Vatn, North Ronaldsay)",HY7856,127,25,00:00
2500551,GBT,Storm Petrel,4,20/07/1999,00:30,"NBE (Twinyess, North Ronaldsay)",HY7452,128,25,00:30
2500814,GBT,Storm Petrel,4,15/08/1999,03:10,"NMM (Bewan, North Ronaldsay)",HY7855,123,24.6,03:10
2488928,GBT,Storm Petrel,4,14/08/1999,01:10,"NNO (Trolla Vatn, North Ronaldsay)",HY7856,127,26.7,01:10
2488939,GBT,Storm Petrel,4,14/08/1999,01:10,"NNO (Trolla Vatn, North Ronaldsay)",HY7856,126,23.8,01:10
2500844,GBT,Storm Petrel,4,17/08/1999,23:50,"NBE (Twinyess, North Ronaldsay)",HY7452,125,26,23:50
2500832,GBT,Storm Petrel,4,17/08/1999,01:30,"NBE (Twinyess, North Ronaldsay)",HY7452,123,27.5,01:30
2500658,GBT,Storm Petrel,4,12/08/1999,00:40,"NMM (Bewan, North Ronaldsay)",HY7855,126,24.9,00:40
2500682,GBT,Storm Petrel,4,12/08/1999,02:40,"NMM (Bewan, North Ronaldsay)",HY7855,127,30,02:40
2500615,GBT,Storm Petrel,4,11/08/1999,01:20,"NMM (Bewan, North Ronaldsay)",HY7855,125,25.5,01:20
2500876,GBT,Storm Petrel,4,24/08/1999,03:10,"NBE (Twinyess, North Ronaldsay)",HY7452,121,24.1,03:10
2500692,GBT,Storm Petrel,4,12/08/1999,22:50,"NNO (Trolla Vatn, North Ronaldsay)",HY7856,122,22.7,22:50
2488676,GBT,Storm Petrel,4,28/07/1999,02:00,"NBE (Twinyess, North Ronaldsay)",HY7452,123,25.6,02:00
2500879,GBT,Storm Petrel,4,24/08/1999,03:10,"NBE (Twinyess, North Ronaldsay)",HY7452,123,27.5,03:10
2500864,GBT,Storm Petrel,4,24/08/1999,01:20,"NBE (Twinyess, North Ronaldsay)",HY7452,122,22.1,01:20
2500851,GBT,Storm Petrel,4,18/08/1999,00:40,"NBE (Twinyess, North Ronaldsay)",HY7452,124,23.5,00:40
2500545,GBT,Storm Petrel,4,17/07/1999,02:10,"NBE (Twinyess, North Ronaldsay)",HY7452,122,24.7,02:10
2488633,GBT,Storm Petrel,4,28/07/1999,01:00,"NBE (Twinyess, North Ronaldsay)",HY7452,122,22.5,01:00
2488620,GBT,Storm Petrel,4,28/07/1999,00:30,"NBE (Twinyess, North Ronaldsay)",HY7452,120,25.5,00:30
2488718,GBT,Storm Petrel,4,06/08/1999,00:20,"NBE (Twinyess, North Ronaldsay)",HY7452,127,24,00:20
2488285,GBT,Storm Petrel,4,08/07/1997,01:20,"NBE (Twinyess, North Ronaldsay)",HY7452,122,25.1,01:20
2488594,GBT,Storm Petrel,4,16/08/1997,00:40,"NBE (Twinyess, North Ronaldsay)",HY7452,122,25,00:40
2488341,GBT,Storm Petrel,4,18/07/1997,03:10,"NBE (Twinyess, North Ronaldsay)",HY7452,124,26.6,03:10
2488379,GBT,Storm Petrel,4,20/07/1997,02:00,"NBE (Twinyess, North Ronaldsay)",HY7452,124,26,02:00
2488394,GBT,Storm Petrel,4,22/07/1997,01:20,"NBE (Twinyess, North Ronaldsay)",HY7452,124,24.2,01:20
2488527,GBT,Storm Petrel,4,05/08/1997,00:40,"NBE (Twinyess, North Ronaldsay)",HY7452,125,27.9,00:40
2488539,GBT,Storm Petrel,4,05/08/1997,01:20,"NBE (Twinyess, North Ronaldsay)",HY7452,123,26.3,01:20
2488382,GBT,Storm Petrel,4,20/07/1997,02:10,"NBE (Twinyess, North Ronaldsay)",HY7452,127,24.3,02:10
2488485,GBT,Storm Petrel,4,04/08/1997,01:40,"NBE (Twinyess, North Ronaldsay)",HY7452,123,23.9,01:40
2488484,GBT,Storm Petrel,4,04/08/1997,01:40,"NBE (Twinyess, North Ronaldsay)",HY7452,123,24.2,01:40
2488481,GBT,Storm Petrel,4,04/08/1997,01:10,"NBE (Twinyess, North Ronaldsay)",HY7452,124,23,01:10
2488490,GBT,Storm Petrel,4,04/08/1997,01:50,"NBE (Twinyess, North Ronaldsay)",HY7452,124,23.1,01:50
2488455,GBT,Storm Petrel,4,04/08/1997,00:20,"NBE (Twinyess, North Ronaldsay)",HY7452,125,24.3,00:20
2488310,GBT,Storm Petrel,4,18/07/1997,00:20,"NBE (Twinyess, North Ronaldsay)",HY7452,125,24.5,00:20
2488499,GBT,Storm Petrel,4,04/08/1997,02:30,"NBE (Twinyess, North Ronaldsay)",HY7452,123,24.6,02:30
2488514,GBT,Storm Petrel,4,04/08/1997,02:50,"NBE (Twinyess, North Ronaldsay)",HY7452,118,21.5,02:50
2488583,GBT,Storm Petrel,4,10/08/1997,01:20,"NBE (Twinyess, North Ronaldsay)",HY7452,124,25.4,01:20
2488607,GBT,Storm Petrel,4,16/08/1997,01:20,"NBE (Twinyess, North Ronaldsay)",HY7452,126,26.4,01:20
2488328,GBT,Storm Petrel,4,18/07/1997,02:30,"NBE (Twinyess, North Ronaldsay)",HY7452,123,24.2,02:30
2488327,GBT,Storm Petrel,4,18/07/1997,02:30,"NBE (Twinyess, North Ronaldsay)",HY7452,119,21.4,02:30
2488346,GBT,Storm Petrel,4,20/07/1997,01:10,"NBE (Twinyess, North Ronaldsay)",HY7452,127,23,01:10
2488612,GBT,Storm Petrel,4,16/08/1997,01:30,"NBE (Twinyess, North Ronaldsay)",HY7452,123,26.3,01:30
2488603,GBT,Storm Petrel,4,16/08/1997,00:10,"NBE (Twinyess, North Ronaldsay)",HY7452,122,22.7,00:10
2488301,GBT,Storm Petrel,4,17/07/1997,00:30,"NBE (Twinyess, North Ronaldsay)",HY7452,126,25.6,00:30
2488300,GBT,Storm Petrel,4,17/07/1997,00:20,"NBE (Twinyess, North Ronaldsay)",HY7452,120,23.4,00:20
2488315,GBT,Storm Petrel,4,18/07/1997,00:50,"NBE (Twinyess, North Ronaldsay)",HY7452,120,24.6,00:50
2488433,GBT,Storm Petrel,4,27/07/1997,02:20,"NBE (Twinyess, North Ronaldsay)",HY7452,123,24.9,02:20
2488428,GBT,Storm Petrel,4,27/07/1997,02:10,"NBE (Twinyess, North Ronaldsay)",HY7452,125,25.4,02:10
2488444,GBT,Storm Petrel,4,27/07/1997,03:20,"NBE (Twinyess, North Ronaldsay)",HY7452,127,24.4,03:20
2488405,GBT,Storm Petrel,4,27/07/1997,00:40,"NBE (Twinyess, North Ronaldsay)",HY7452,121,23.6,00:40
2488454,GBT,Storm Petrel,4,04/08/1997,00:20,"NBE (Twinyess, North Ronaldsay)",HY7452,120,23.2,00:20
2488616,GBT,Storm Petrel,4,16/08/1997,01:50,"NBE (Twinyess, North Ronaldsay)",HY7452,122,22.9,01:50
2488411,GBT,Storm Petrel,4,27/07/1997,01:10,"NBE (Twinyess, North Ronaldsay)",HY7452,124,24.5,01:10
2488457,GBT,Storm Petrel,4,04/08/1997,00:30,"NBE (Twinyess, North Ronaldsay)",HY7452,127,25.2,00:30
2488561,GBT,Storm Petrel,4,05/08/1997,03:00,"NBE (Twinyess, North Ronaldsay)",HY7452,123,24.8,03:00
2488576,GBT,Storm Petrel,4,10/08/1997,00:50,"NBE (Twinyess, North Ronaldsay)",HY7452,122,27.4,00:50
2488518,GBT,Storm Petrel,4,04/08/1997,03:10,"NBE (Twinyess, North Ronaldsay)",HY7452,123,22.2,03:10
2669997,GBT,Storm Petrel,4,15/08/2013,23:50,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,124,28.6,23:50
2669994,GBT,Storm Petrel,4,15/08/2013,23:30,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,121,23.2,23:30
2669993,GBT,Storm Petrel,4,15/08/2013,23:25,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,122,23.4,23:25
2669991,GBT,Storm Petrel,4,15/08/2013,23:20,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,121,24.7,23:20
2669990,GBT,Storm Petrel,4,15/08/2013,23:15,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,123,24.8,23:15
2669988,GBT,Storm Petrel,4,15/08/2013,23:05,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,123,24.6,23:05
2694017,GBT,Storm Petrel,4,16/08/2013,02:00,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,117,25.3,02:00
2694016,GBT,Storm Petrel,4,16/08/2013,01:50,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,121,25,01:50
2694015,GBT,Storm Petrel,4,16/08/2013,01:40,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,123,23.7,01:40
2694013,GBT,Storm Petrel,4,16/08/2013,01:40,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,122,24.2,01:40
2694012,GBT,Storm Petrel,4,16/08/2013,01:30,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,125,26.8,01:30
2694006,GBT,Storm Petrel,4,16/08/2013,00:50,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,123,23.4,00:50
2694005,GBT,Storm Petrel,4,16/08/2013,00:45,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,123,23.8,00:45
2694003,GBT,Storm Petrel,4,16/08/2013,00:45,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,119,23.9,00:45
2670000,GBT,Storm Petrel,4,16/08/2013,00:01,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,123,25.1,00:01
2669999,GBT,Storm Petrel,4,16/08/2013,00:01,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,121,23.2,00:01
2669846,GBT,Storm Petrel,4,30/07/2013,00:30,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,128,29,00:30
2669845,GBT,Storm Petrel,4,30/07/2013,00:20,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,119,25.1,00:20
2669842,GBT,Storm Petrel,4,22/07/2013,00:50,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,123,28.4,00:50
2669871,GBT,Storm Petrel,4,06/08/2013,23:15,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,118,24.6,23:15
2669869,GBT,Storm Petrel,4,06/08/2013,01:10,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,121,24.7,01:10
2669868,GBT,Storm Petrel,4,06/08/2013,01:00,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,127,23.2,01:00
2669897,GBT,Storm Petrel,4,07/08/2013,01:10,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,123,24.6,01:10
2669896,GBT,Storm Petrel,4,07/08/2013,00:40,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,123,24.9,00:40
2669894,GBT,Storm Petrel,4,07/08/2013,00:20,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,119,24.2,00:20
2669893,GBT,Storm Petrel,4,07/08/2013,00:10,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,125,25.9,00:10
2669892,GBT,Storm Petrel,4,07/08/2013,00:10,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,120,23.8,00:10
2669982,GBT,Storm Petrel,4,08/08/2013,01:45,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,119,23.9,01:45
2669981,GBT,Storm Petrel,4,08/08/2013,01:45,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,119,23.4,01:45
2669979,GBT,Storm Petrel,4,08/08/2013,01:45,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,121,24.2,01:45
2669978,GBT,Storm Petrel,4,08/08/2013,01:45,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,122,24.9,01:45
2669977,GBT,Storm Petrel,4,08/08/2013,01:40,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,123,24.8,01:40
2669976,GBT,Storm Petrel,4,08/08/2013,01:20,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,123,26.9,01:20
2669865,GBT,Storm Petrel,4,06/08/2013,00:30,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,125,26,00:30
2669863,GBT,Storm Petrel,4,06/08/2013,00:10,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,123,24.6,00:10
2669862,GBT,Storm Petrel,4,05/08/2013,23:50,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,120,24.6,23:50
2669861,GBT,Storm Petrel,4,05/08/2013,23:40,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,117,25.6,23:40
2669860,GBT,Storm Petrel,4,05/08/2013,23:30,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,121,24.3,23:30
2669834,GBT,Storm Petrel,4,10/07/2013,01:45,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,121,24.1,01:45
2669833,GBT,Storm Petrel,4,10/07/2013,01:30,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,122,25.9,01:30
2669831,GBT,Storm Petrel,4,10/07/2013,01:25,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,126,25.6,01:25
2669830,GBT,Storm Petrel,4,10/07/2013,01:25,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,120,26.4,01:25
2669975,GBT,Storm Petrel,4,08/08/2013,01:15,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,118,23.6,01:15
2669973,GBT,Storm Petrel,4,08/08/2013,01:05,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,121,23.6,01:05
2669971,GBT,Storm Petrel,4,08/08/2013,00:50,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,125,25.2,00:50
2669970,GBT,Storm Petrel,4,08/08/2013,00:40,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,125,24.4,00:40
2669969,GBT,Storm Petrel,4,08/08/2013,00:40,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,124,22.5,00:40
2669967,GBT,Storm Petrel,4,08/08/2013,00:25,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,120,22.6,00:25
2669966,GBT,Storm Petrel,4,08/08/2013,00:20,"STOPE-NBE (Twinyess, North Ronaldsay)",HY7452,123,24.5,00:20
